Anime,Genre_Tags,Source,Nb_Episodes,Status,Studio,Date_Pub,Note_Globale,Note_Meilleur_Ep,Meilleur_Ep_Titre,Comm_Meilleur_Ep,Note_Pire_Ep,Pire_Ep_Titre,Comm_Pire_Ep,Comm_Saison_1,Comm_Saison_2,Comm_Saison_3,Ecart,Regularite,Longueur_Log,Profil,Score_Regularite,Bonus_Longevite,Score_Final,Genre_Principal,Longevite_Score,Score_Ultime,Score_Qualite_Pure,Score_Synthese
Medalist,Sport / Figure Skating,Manga,3,En cours,ENGI,2025-01-05,8.0,8.2,Ep 1: Coach et Élève,"Début prometteur, la passion du patinage est bien là.",0.0,(Trop récent),Pas assez de données pour le pire épisode.,Rencontre entre un coach raté et une prodige passionnée.,(Non diffusé),(Non diffusé),8.2,1.8000000000000007,1.3862943611198906,Inconstant,1.8000000000000007,1.3862943611198906,5.478629436111989,Sport,0.0,5.38,6.18,6.18
Du mouvement de la Terre,Historical / Drama,Manga,8,Fini,Madhouse,2024-10-05,8.4,8.9,Ep 8: La vérité,Conclusion philosophique puissante sur la science et la foi.,7.8,Ep 2: L'hérétique,Mise en place un peu dense des concepts astronomiques.,Lutte intellectuelle et tortures pour prouver l'héliocentrisme.,(Série courte en 1 saison unique),(Non diffusé),1.1000000000000005,8.899999999999999,2.1972245773362196,Chef-d’œuvre,8.899999999999999,2.1972245773362196,7.929722457733621,Historical,0.045998160073597055,7.81459981600736,8.649999999999999,8.649999999999999
Samurai Champloo,Adventure / Chanbara,Original,26,Fini,Manglobe,2004-05-20,8.5,9.2,Ep 26: Evanescent Encounter,Fin stylée et mélancolique. Le voyage valait le coup.,7.4,Ep 22: Cosmic Collisions,Episode 'Zombies' étrange qui divise les fans (aimé ou détesté).,"Mélange Hip-hop et Samouraïs, voyage épisodique cool.",Exploration du passé sombre des protagonistes.,Conclusion du voyage vers le 'Samouraï qui sent le tournesol'.,1.799999999999999,8.200000000000001,3.295836866004329,Chef-d’œuvre,8.200000000000001,3.295836866004329,7.889583686600433,Adventure,0.21159153633854647,7.721159153633856,8.55,8.55
L'Attaque des Titans,Action / Mystery,Manga,89,Fini,Wit Studio / MAPPA,2013-04-07,8.5,9.9,Ep 54: Héros (Hero),Note quasi parfaite. Le sacrifice d'Armin et le discours d'Erwin.,6.8,Ep 14: On ne peut rien y faire (Recap),"Un résumé avant le tribunal, casse le rythme de la S1.",La chute du mur et la peur primale des Titans.,Le complot politique et la révélation du Titan Cuirassé.,Le retour à Shiganshina et la découverte de la cave (Vérité).,3.1000000000000005,6.8999999999999995,4.499809670330265,Inconstant,6.8999999999999995,4.499809670330265,7.619980967033026,Action,0.7911683532658693,7.529116835326588,8.3,8.3
Death Note,Thriller / Supernatural,Manga,37,Fini,Madhouse,2006-10-04,8.6,9.5,Ep 25: Silence,La mort de L. Un tournant scénaristique choquant et brillant.,7.2,Ep 26: Régénération,"Transition brutale après le climax, introduction de Near/Mello.","Le duel intellectuel Kira vs L, tension psychologique maximale.",L'arrivée de Misa et la complexification des règles du cahier.,La seconde partie avec Near et Mello (souvent jugée inférieure).,2.3,7.7,3.6375861597263857,Stable,7.7,3.6375861597263857,7.833758615972638,Thriller,0.31278748850046,7.681278748850047,8.51,8.51
Hunter x Hunter (2011),Adventure / Shonen,Manga,148,Fini,Madhouse,2011-10-02,9.0,9.7,Ep 131: Colère x et x Lumière,La transformation de Gon. Animation et émotion terrifiantes.,5.9,Ep 13: Lettre x de x Gon (Recap),"Episode résumé très tôt dans la série, inutile.",Examen Hunter : Aventure pure et découverte des amis.,"Yorknew City : Ambiance noire, Kurapika vs la Brigade Fantôme.",Chimera Ant : L'arc le plus sombre et philosophique du Shonen.,3.799999999999999,6.200000000000001,5.003946305945459,Inconstant,6.200000000000001,5.003946305945459,7.760394630594545,Adventure,1.3339466421343147,7.533394664213432,8.3,8.3
Code Geass,Sci-Fi / Mecha,Original,50,Fini,Sunrise,2006-10-06,8.7,9.8,Ep 50: Re;,Le 'Zero Requiem'. Considéré comme la meilleure fin d'animé jamais écrite.,7.1,Ep 6: Le masque volé,"Episode 'humour' au lycée avec un chat, détonne avec le sérieux.",La rébellion de Lelouch et la stratégie militaire avec le Geass.,"La chute et l'exil, perte de mémoire et reconstruction.",La conquête mondiale et le sacrifice final pour la paix.,2.700000000000001,7.299999999999999,3.9318256327243257,Stable,7.299999999999999,3.9318256327243257,7.803182563272432,Sci-Fi,0.4323827046918123,7.673238270469181,8.5,8.5
Steins;Gate,Sci-Fi / Thriller,Visual Novel,24,Fini,White Fox,2011-04-06,9.1,9.7,Ep 22: Being Meltdown,Le choix impossible entre Kurisu et Mayuri. Sommet émotionnel.,7.8,Ep 1: Turning Point,"Début très lent et confus (voulu), filtre beaucoup de spectateurs.","Mise en place lente, tranche de vie et théories temporelles.","Basculement dans le thriller, course contre la montre pour sauver Mayuri.",Dénouement et atteinte de la ligne d'univers Steins Gate.,1.8999999999999995,8.100000000000001,3.2188758248682006,Chef-d’œuvre,8.100000000000001,3.2188758248682006,8.21188758248682,Sci-Fi,0.19319227230910763,8.02931922723091,8.92,8.92
GTO,Comedy / Slice of Life,Manga,43,Fini,Studio Pierrot,1999-06-30,8.7,9.2,Ep 43: La dernière leçon,Conclusion émouvante de la carrière d'Onizuka.,7.4,Ep 34: Gangsters,Histoire un peu tirée par les cheveux avec des Yakuza.,"Onizuka devient prof, leçons de vie non conventionnelles.",Affrontement avec la sous-directrice et élèves difficiles.,Arc final et rédemption des élèves les plus durs.,1.799999999999999,8.200000000000001,3.784189633918261,Chef-d’œuvre,8.200000000000001,3.784189633918261,8.058418963391826,Comedy,0.36798528058877644,7.816798528058878,8.65,8.65
Naruto Shippuden,Action / Shonen,Manga,500,Fini,Studio Pierrot,2007-02-15,8.2,9.7,Ep 476: Le dernier combat,Naruto vs Sasuke final. Animation d'art et essai sublime.,4.3,Ep 449: Shinobi Unite (Filler),Remplissage de mauvaise qualité au milieu de la guerre.,Le sauvetage de Gaara et les retrouvailles froides avec Sasuke.,L'arc Hidan/Kakuzu et la vengeance de Shikamaru.,L'invasion de Pain et le mode Ermite de Naruto.,5.3999999999999995,4.6000000000000005,6.2166061010848646,Inconstant,4.6000000000000005,6.2166061010848646,6.921660610108486,Action,4.572217111315547,7.057221711131555,7.42,7.42
Psycho-Pass,Sci-Fi / Police,Original,41,Fini,Production I.G,2012-10-12,8.3,9.2,Ep 11: Saint's Supper,Révélation sur le système Sybil et cruauté de Makishima.,6.5,Ep 18 (S2): Titre S2,La saison 2 est globalement mal aimée (changement de scénariste).,Découverte du Dominator et traque de Makishima (Chef d'oeuvre).,"Saison 2 : Akane est cheffe, mais scénario moins fin.","Saison 3 : Nouveaux inspecteurs, intrigue plus politique.",2.6999999999999993,7.300000000000001,3.7376696182833684,Stable,7.300000000000001,3.7376696182833684,7.543766961828337,Sci-Fi,0.34958601655933763,7.384958601655933,8.18,8.18
My Hero Academia,Action / Super Power,Manga,138,En cours,Bones,2016-04-03,7.9,9.6,Ep 49: One For All,All Might vs All For One. 'United States of Smash'.,5.5,Ep 64: Le scoop de la 1-A (Filler),Episode résumé inutile pour lancer la saison 4.,"Entrée à Yuei, Deku reçoit le pouvoir. Ambiance scolaire.","Tournoi sportif et stage, développement de Shoto Todoroki.","Camp d'été et enlèvement de Bakugo, ton plus sombre.",4.1,5.9,4.9344739331306915,Inconstant,5.9,4.9344739331306915,7.003447393313069,Action,1.2419503219871206,6.974195032198712,7.640000000000001,7.640000000000001
Bleach,Action / Supernatural,Manga,366,Fini,Studio Pierrot,2004-10-05,7.9,9.7,Ep 366 (TYBW Ep 6): The Fire,Yamamoto en action (Arc Guerre Sanglante). Visuellement fou.,4.8,Ep 70: Bount Arc (Filler),"Début de l'arc filler des Bounts, universellement détesté.",Arc Soul Society : Sauvetage de Rukia (Un classique).,Arc Arrancar : Introduction des Espada et du Hueco Mundo.,Arc Guerre Sanglante (2022) : Retour violent et magnifique.,4.8999999999999995,5.1000000000000005,5.905361848054571,Inconstant,5.1000000000000005,5.905361848054571,6.860536184805458,Action,3.3394664213431464,6.9639466421343155,7.42,7.42
Parasite: La Maxime,Sci-Fi / Horror,Manga,24,Fini,Madhouse,2014-10-09,8.3,9.3,Ep 12: Coeur,"Migi défend Shinichi, mort de Kana. Bascule psychologique.",7.6,Ep 1: Métamorphose,"Introduction un peu étrange, le design 'années 80' modernisé surprend.","Invasion silencieuse, Shinichi apprend à vivre avec Migi.",Conflit avec les parasites organisés et Reiko Tamura.,Bataille finale et réflexions écologiques sur l'humanité.,1.700000000000001,8.299999999999999,3.2188758248682006,Chef-d’œuvre,8.299999999999999,3.2188758248682006,7.791887582486821,Sci-Fi,0.19319227230910763,7.689319227230912,8.5,8.5
Demon Slayer,Action / Historical,Manga,55,En cours,Ufotable,2019-04-06,8.5,9.9,Ep 19: Le Dieu du feu,Hinokami Kagura. L'épisode qui a cassé Internet.,7.1,Ep 14: La maison aux blasons,"Zenitsu et Inosuke sont bruyants, humour qui divise.",Formation de Tanjiro et sélection finale.,Rencontre avec Zenitsu/Inosuke et Montagne Natagumo.,Arc du Quartier des Plaisirs (S2) : Combat titanesque contre Daki/Gyutaro.,2.8000000000000007,7.199999999999999,4.02535169073515,Stable,7.199999999999999,4.02535169073515,7.662535169073514,Action,0.4783808647654094,7.587838086476542,8.39,8.39
Erased,Mystery / Supernatural,Manga,12,Fini,A-1 Pictures,2016-01-08,8.3,9.4,Ep 8: Spiral,"Le suspense est à son comble, Satoru proche de la vérité.",6.8,Ep 12: Treasure,"Fin précipitée et différente du manga, décevante pour beaucoup.",Enquête dans le passé pour sauver Kayo Hinazuki.,"Le tueur se rapproche, tension insoutenable.",Confrontation finale dans le présent (rythme accéléré).,2.6000000000000005,7.3999999999999995,2.5649493574615367,Stable,7.3999999999999995,2.5649493574615367,7.456494935746154,Mystery,0.0827966881324747,7.428279668813247,8.25,8.25
Tokyo Ghoul,Horror / Action,Manga,48,Fini,Studio Pierrot,2014-07-04,7.5,9.6,Ep 12: Ghoul,Torture de Kaneki et cheveux blancs. 'Unravel' en fond.,5.2,Ep 24: Root A Finale,Fin de la S2 (Root A) incompréhensible et hors-sujet vs Manga.,"Découverte du monde des goules, horreur et faim.",Saison Root A : Scénario original qui s'éloigne du manga (décevant).,"Tokyo Ghoul:re : Ellipse temporelle, trop de personnages, confus.",4.3999999999999995,5.6000000000000005,3.8918202981106265,Inconstant,5.6000000000000005,3.8918202981106265,6.569182029811063,Horror,0.4139834406623735,6.641398344066237,7.35,7.35
Mushishi,Slice of Life / Supernatural,Manga,26,Fini,Artland,2005-10-23,8.7,9.4,Ep 12: One-Eyed Fish,Histoire poétique et mélancolique typique de la série.,8.0,Ep 5: The Traveling Swamp,"Pas de mauvais épisode, juste des histoires moins marquantes.","Voyage de Ginko, histoires épisodiques apaisantes.",Exploration de la nature invisible (Mushi) et de l'humain.,"Pas de fil rouge fort, mais une ambiance unique et constante.",1.4000000000000004,8.6,3.295836866004329,Chef-d’œuvre,8.6,3.295836866004329,8.129583686600432,Slice of Life,0.21159153633854647,7.961159153633854,8.81,8.81
JoJo's Bizarre Adventure,Action / Supernatural,Manga,26,Fini,David Production,2012-10-06,8.0,9.1,Ep 20: Caesar's Youth,Le combat et le sacrifice de Caesar. 'SHIZAAAA!',6.9,Ep 10: New York's JoJo,"Début de la partie 2, transition de style surprenante.","Partie 1 (Phantom Blood) : Jonathan vs Dio, gothique et classique.","Partie 2 (Battle Tendency) : Joseph Joestar, tactique et humour.",Introduction des 'Stands' (Partie 3 - Stardust Crusaders).,2.1999999999999993,7.800000000000001,3.295836866004329,Stable,7.800000000000001,3.295836866004329,7.4695836866004335,Action,0.21159153633854647,7.381159153633856,8.16,8.16
Jujutsu Kaisen,Action / Supernatural,Manga,47,En cours,MAPPA,2020-10-03,8.6,9.8,Ep 41 (S2): Thunderclap,Sukuna détruit Shibuya. Animation apocalyptique.,7.5,Ep 22: The Origin of Blind Obedience,Un peu de remplissage avant le final de la S1.,"Introduction de Yuji et des fléaux, école d'exorcisme.",Tournoi inter-lycées et montée en puissance.,"Arc de Shibuya (S2) : Tragédie, combats et pertes majeures.",2.3000000000000007,7.699999999999999,3.871201010907891,Stable,7.699999999999999,3.871201010907891,7.857120101090788,Action,0.40478380864765406,7.750478380864766,8.57,8.57
Boruto: Naruto Next Generations,Action / Shonen,Manga,293,En pause,Studio Pierrot,2017-04-05,6.0,9.9,Ep 218: Partenaire,La perte de Kurama. Fin d'une ère et émotion pure.,4.3,Ep 67: Super Cho-Cho Butterfly Mode!,Arc insupportable et gênant centré sur la romance de Cho-Cho.,"Démarrage lent, souffre de la comparaison avec Naruto.",Enorme quantité de fillers (Anime Canon) souvent médiocres.,Les moments clés (Momoshiki/Isshiki) sont de très haut niveau.,5.6000000000000005,4.3999999999999995,5.683579767338681,Inconstant,4.3999999999999995,5.683579767338681,5.488357976733868,Action,2.6678932842686294,5.966789328426863,6.300000000000001,6.300000000000001
Frieren: Beyond Journey's End,Adventure / Fantasy,Manga,28,En cours,Madhouse,2023-09-29,9.3,9.4,Ep 10: Frieren the Slayer,Démonstration de puissance calme et terrifiante.,7.3,Ep 22: Future Enemies,"Rythme un peu plus lent, transition vers l'examen de mage.",Voyage mélancolique sur le temps qui passe et le deuil.,"Production Madhouse sublime, ambiance 'comfy' et contemplative.",Les relations subtiles (Frieren/Fern/Stark) sont le coeur du récit.,2.1000000000000005,7.8999999999999995,3.367295829986474,Stable,7.8999999999999995,3.367295829986474,8.286729582998646,Adventure,0.22999080036798528,7.992999080036799,8.9,8.9
Hell's Paradise,Action / Dark Fantasy,Manga,13,En cours,MAPPA,2023-04-01,7.7,8.3,Ep 13: Dreams and Reality,"Fin de saison satisfaisante, révélations et promesse de chaos.",7.1,Ep 11: Weak and Strong,"Rythme cassé par des flashbacks, action en retrait.",Mélange unique de beauté florale et d'horreur pure.,Gabimaru : un protagoniste tueur mais profondément humain.,Univers mystérieux et système de pouvoir (Tao) intrigant.,1.200000000000001,8.799999999999999,2.6390573296152584,Stable,8.799999999999999,2.6390573296152584,7.523905732961525,Action,0.09199632014719411,7.389199632014719,8.15,8.15
My Hero Academia: Vigilantes,Action / Super Power,Manga,13,En cours,Bones,2025-04-07,7.6,8.6,Ep 12: Papa ni Sayonara,Moment émotionnel culminant de l'arc Sky Egg.,7.3,Ep 8: Major,Episode de mi-saison un peu plus faible en tension.,Un spin-off plus sombre et grounded que la série principale.,Exploration des bas-fonds et du passé d'Aizawa très appréciée.,Koichi est un protagoniste 'outsider' très attachant.,1.2999999999999998,8.7,2.6390573296152584,Stable,8.7,2.6390573296152584,7.4339057329615255,Action,0.09199632014719411,7.3791996320147195,8.13,8.13
Claymore,Action / Dark Fantasy,Manga,26,Fini,Madhouse,2007-04-03,7.7,8.4,Ep 8: Awakening,Le moment pivot. L'éveil de la conscience de Clare.,7.6,Ep 26: For Whose Sake,Fin originale de l'anime qui diverge du manga (très critiquée).,"Ambiance Dark Fantasy lourde et mature, combats sanglants.",Teresa of the Faint Smile : un des meilleurs personnages féminins.,L'anime ne couvre qu'une partie de l'histoire (Lire le manga !).,0.8000000000000007,9.2,3.295836866004329,Stable,9.2,3.295836866004329,7.709583686600433,Action,0.21159153633854647,7.5411591536338545,8.29,8.29
One Outs,Sport / Psychological,Manga,25,Fini,Madhouse,2008-10-08,8.3,8.5,Ep 7: Trick & Trap,L'art de la manipulation psychologique à son paroxysme.,7.2,Ep 16: Trick Stadium,"Un peu en dessous, mais reste très solide.",Tokuchi Toua est un génie du mal fascinant.,"Duel psychologique intense, pas juste du baseball.","Pas de vraie fin (lire le manga), mais le voyage est incroyable.",1.2999999999999998,8.7,3.258096538021482,Chef-d’œuvre,8.7,3.258096538021482,7.915809653802148,Sport,0.20239190432382703,7.650239190432383,8.46,8.46
Zetsuen No Tempest,Mystery / Fantasy,Manga,24,Fini,Bones,2012-10-05,7.9,8.5,Ep 1: The Mage in the Barrel,Une introduction mystérieuse et accrocheuse.,7.4,Ep 13: Tone Shift,Transition de milieu de saison qui divise les fans.,Dialogue shakespearien et citations de Hamlet/The Tempest.,Yoshino et Mahiro : un duo de protagonistes complexe.,La deuxième partie est plus lente et différente de la première.,1.0999999999999996,8.9,3.2188758248682006,Stable,8.9,3.2188758248682006,7.73188758248682,Mystery,0.19319227230910763,7.549319227230911,8.32,8.32
Your Lie in April,Drama / Music,Manga,22,Fini,A-1 Pictures,2014-10-09,8.6,9.5,Ep 22: Spring Breeze,La lettre de Kaori. Préparez les mouchoirs.,8.4,Ep 1: Monotone/Colorful,"Début un peu lent pour certains, mais visuellement beau.",Une oeuvre magnifique sur le traumatisme et la guérison.,La musique classique est un personnage à part entière.,Kaori Miyazono : une flamme qui brûle vite et fort.,1.0999999999999996,8.9,3.1354942159291497,Chef-d’œuvre,8.9,3.1354942159291497,8.143549421592914,Drama,0.17479300827966882,8.027479300827967,8.87,8.87
Monster,Thriller / Mystery,Manga,74,Fini,Madhouse,2004-04-07,8.9,9.1,Ep 4: Night of Punishment,Tension insoutenable et écriture magistrale.,7.4,Ep 8: The Fugitive,"Rythme plus lent, mise en place des pièces.",Johan Liebert est le meilleur méchant de l'histoire.,Un thriller psychologique lent mais incroyablement récompensant.,"Pas de pouvoirs, juste la noirceur de l'âme humaine.",1.6999999999999993,8.3,4.31748811353631,Chef-d’œuvre,8.3,4.31748811353631,8.26174881135363,Thriller,0.6531738730450782,7.935317387304509,8.76,8.76
Hajime no Ippo,Sport / Boxing,Manga,76,Fini,Madhouse,2000-10-04,8.8,9.2,Ep 75: The First Step,Conclusion de la saison 1. Ippo devient champion.,7.5,Ep 30: Motivation,"Quelques longueurs, mais nécessaire pour le développement.",Le meilleur anime de sport pour ressentir les impacts.,Takamura est hilarant et terrifiant à la fois.,Dempsey Roll ! Les bruitages de jet engine sont iconiques.,1.6999999999999993,8.3,4.343805421853684,Chef-d’œuvre,8.3,4.343805421853684,8.204380542185369,Sport,0.671573137074517,7.9171573137074525,8.73,8.73
Kenshin le Vagabond,Action / Historical,Manga,95,Fini,Studio Gallop / Deen,1996-01-10,8.3,9.0,Ep 30: Revenge,Le combat contre Saito à Kyoto. Sommet de la série.,6.2,Ep 80: Feng Shui Arc,"Filler de la saison 3, animation et scénario médiocres.",Arc Kyoto (S2) : Le Shonen à son apogée (Shishio Makoto).,"Saison 3 (Fillers) à éviter, la qualité chute drastiquement.",Kenshin Himura : le vagabond pacifiste au passé sanglant.,2.8,7.2,4.564348191467836,Stable,7.2,4.564348191467836,7.5964348191467845,Action,0.8463661453541859,7.364636614535419,8.110000000000001,8.110000000000001
Yū Yū Hakusho,Action / Supernatural,Manga,112,Fini,Studio Pierrot,1992-10-10,8.5,9.1,Ep 58: Grim Determination,Hiei utilise le Dragon of the Darkness Flame. Culte.,7.3,Ep 112: Forever!,Fin un peu abrupte mais nostalgique.,Tournoi des Ténèbres : Le standard or des tournois en anime.,Les 4 protagonistes ont une alchimie parfaite.,Yusuke Urameshi est un délinquant au grand coeur.,1.7999999999999998,8.2,4.727387818712341,Chef-d’œuvre,8.2,4.727387818712341,8.032738781871233,Action,1.0027598896044159,7.780275988960441,8.53,8.53
